Day,QQ_Timmy avg interaction,QQ_Timmy chart,jukan05 avg interaction,jukan05 chart,TrendForce avg interaction,TrendForce chart,dylan522p avg interaction,dylan522p chart,SemiAnalysis_ avg interaction,SemiAnalysis_ chart,technews_tw avg interaction,technews_tw chart,combined avg interaction,combined chart
Monday,69.08,██████████████,581.42,███████████████,33.78,█████████████████,578.48,████████████,241.66,███████████,4.72,█████████████,188.44,███████████
Tuesday,77.83,███████████████,622.68,████████████████,39.05,████████████████████,591.67,█████████████,252.83,████████████,4.62,█████████████,229.04,█████████████
Wednesday,65.19,█████████████,496.72,█████████████,37.82,███████████████████,463.98,██████████,287.07,█████████████,6.76,████████████████████,195.0,███████████
Thursday,59.35,████████████,578.25,███████████████,31.24,████████████████,895.46,████████████████████,337.71,████████████████,4.47,█████████████,227.81,█████████████
Friday,69.02,██████████████,605.97,███████████████,33.19,████████████████,566.33,████████████,260.08,████████████,3.6,██████████,210.19,████████████
Saturday,82.94,████████████████,761.68,████████████████████,31.89,████████████████,441.91,█████████,330.9,███████████████,4.69,█████████████,297.66,█████████████████
Sunday,97.6,████████████████████,621.45,████████████████,29.47,███████████████,719.61,████████████████,419.07,████████████████████,5.83,█████████████████,332.67,████████████████████

IMAGES VS NO IMAGES
,QQ_Timmy avg interaction,QQ_Timmy chart,jukan05 avg interaction,jukan05 chart,TrendForce avg interaction,TrendForce chart,dylan522p avg interaction,dylan522p chart,SemiAnalysis_ avg interaction,SemiAnalysis_ chart,technews_tw avg interaction,technews_tw chart,combined avg interaction,combined chart
With image,78.37,████████████████████,791.42,████████████████████,47.85,████████████████████,599.09,███████████████████,375.85,████████████████████,20.28,████████████████████,359.44,████████████████████
Without image,65.5,████████████████,477.62,████████████,23.05,█████████,605.52,████████████████████,141.35,███████,3.27,███,151.55,████████
Winner,images,19.6% better,images,65.7% better,images,107.6% better,no images,1.1% better,images,165.9% better,images,520.2% better,images,137.2% better

TOP KEYWORDS BY AVG INTERACTION
Rank,QQ_Timmy keyword,QQ_Timmy avg,QQ_Timmy chart,jukan05 keyword,jukan05 avg,jukan05 chart,TrendForce keyword,TrendForce avg,TrendForce chart,dylan522p keyword,dylan522p avg,dylan522p chart,SemiAnalysis_ keyword,SemiAnalysis_ avg,SemiAnalysis_ chart,technews_tw keyword,technews_tw avg,technews_tw chart,combined keyword,combined avg,combined chart
#1,Glass Substrate,123.56,████████████████████,Micron,1252.69,████████████████████,Kioxia,64.36,████████████████████,Supermicro,1102.6,████████████████████,Micron,757.82,████████████████████,Glass Substrate,33.33,████████████████████,Supermicro,878.75,████████████████████
#2,Thermal Management,120.67,███████████████████,SK Hynix,996.64,███████████████,AMD AI,63.36,███████████████████,LLM / Foundation Model,858.98,███████████████,Google TPU,546.91,██████████████,CCL,25.33,███████████████,LLM / Foundation Model,464.15,██████████
#3,PCB / Substrate,118.42,███████████████████,Kioxia,927.09,██████████████,Micron,58.86,██████████████████,TSMC / Foundry,842.27,███████████████,LLM / Foundation Model,436.57,███████████,PCB / Substrate,21.87,█████████████,SK Hynix,391.32,████████
#4,Power Supply,106.69,█████████████████,LLM / Foundation Model,853.8,█████████████,PLP Packaging,53.6,████████████████,AMD AI,694.83,████████████,DRAM / NAND / SSD,406.76,██████████,Semiconductor Materials,14.62,████████,NVIDIA AI,322.36,███████
#5,CCL,106.5,█████████████████,NVIDIA AI,840.61,█████████████,SK Hynix,51.51,████████████████,Wafer Fab Equipment,674.0,████████████,SK Hynix,390.5,██████████,Optical / Silicon Photonics,11.9,███████,Kioxia,309.65,███████
#6,PLP Packaging,101.2,████████████████,Samsung,829.65,█████████████,DRAM / NAND / SSD,51.23,███████████████,ASIC / Custom Chip,664.5,████████████,NVIDIA AI,374.97,█████████,Advanced Packaging,11.49,██████,AI Server ODM,306.9,██████
#7,NVIDIA AI,98.63,███████████████,DRAM / NAND / SSD,793.55,████████████,HBM Memory,47.66,██████████████,NVIDIA AI,535.13,█████████,HBM Memory,332.82,████████,Power Supply,9.79,█████,AMD AI,296.18,██████
#8,Optical / Silicon Photonics,92.23,██████████████,Optical / Silicon Photonics,790.73,████████████,Samsung,36.83,███████████,Samsung,478.6,████████,AMD AI,330.2,████████,TSMC / Foundry,9.17,█████,Foxconn / Inventec,295.27,██████
#9,Advanced Packaging,89.12,██████████████,ASIC / Custom Chip,761.0,████████████,NVIDIA AI,35.97,███████████,AI Server ODM,452.29,████████,Advanced Packaging,295.0,███████,AMD AI,8.96,█████,Samsung,286.43,██████
#10,TSMC / Foundry,81.37,█████████████,AI Server ODM,698.57,███████████,Optical / Silicon Photonics,32.34,██████████,Advanced Packaging,214.6,███,Wafer Fab Equipment,293.6,███████,ASIC / Custom Chip,8.71,█████,Google TPU,270.89,██████
#11,Micron,80.45,█████████████,HBM Memory,669.96,██████████,Advanced Packaging,29.96,█████████,DRAM / NAND / SSD,212.8,███,AI Server ODM,286.56,███████,NVIDIA AI,7.54,████,Micron,252.24,█████
#12,Google TPU,76.6,████████████,AMD AI,562.86,████████,LLM / Foundation Model,27.4,████████,,,,TSMC / Foundry,241.3,██████,DRAM / NAND / SSD,6.4,███,DRAM / NAND / SSD,229.22,█████
#13,DRAM / NAND / SSD,75.8,████████████,Wafer Fab Equipment,543.45,████████,TSMC / Foundry,26.94,████████,,,,Samsung,226.81,█████,Thermal Management,6.08,███,CCL,215.68,████
#14,Wafer Fab Equipment,74.53,████████████,TSMC / Foundry,526.58,████████,Semiconductor Materials,24.0,███████,,,,Optical / Silicon Photonics,219.46,█████,Google TPU,5.89,███,Glass Substrate,204.48,████
#15,SK Hynix,73.5,███████████,CCL,519.29,████████,ASIC / Custom Chip,23.32,███████,,,,ASIC / Custom Chip,159.71,████,SK Hynix,5.62,███,Wafer Fab Equipment,188.31,████

TOP 10 TWEETS PER ACCOUNT
Rank,Account,Interaction,Views,Likes,Retweets,Replies,Has Images,Keywords,Timestamp,URL,Text
#1,QQ_Timmy,493,182364,426,46,21,no,free transcrip; transcrip ts; 免費ai法說會逐字稿 memo網站; ts; https alphamemo,2025-11-11T05:26:00.000Z,https://x.com/QQ_Timmy/status/1988115973610598903,如果對台灣股市有興趣的話 免費AI法說會逐字稿 Memo網站  https:// alphamemo.ai/free-transcrip ts … 可以試試看
#2,QQ_Timmy,339,71963,296,30,13,yes,南亞塑膠已被納入 switch; switch tray; tray 供應鏈; 導致台灣重量級廠商欣興電子與臻鼎科技明顯市占率提升 與此同時; 成為新驗證通過的供應商 以確保原料供應穩定,2026-07-10T10:57:58.000+08:00,https://x.com/QQ_Timmy/status/2075414196989399401,勝宏科技近期製造端出現問題，打亂了供應鏈格局，導致台灣重量級廠商欣興電子與臻鼎科技明顯市占率提升。  與此同時，因上游材料嚴重短缺，南亞塑膠已被納入 Switch Tray 供應鏈，成為新驗證通過的供應商，以確保原料供應穩定。
#3,QQ_Timmy,336,51218,265,48,23,no,nvidia; nvidia 下一代架構讓光元件需求暴增六倍; 下一代架構讓光元件需求暴增六倍 cpo; stt處理 並由claude整理總結; ai 基本面持續上修,2026-06-15T16:20:09.000Z,https://x.com/QQ_Timmy/status/2066556377276010990,艦長 程正樺 論壇演講重點整理 (錄音檔經Grok STT處理，並由Claude整理總結) 一句話總結: AI 基本面持續上修、算力依然短缺，真正的結構性大事是 NVIDIA 下一代架構讓光元件需求暴增六倍，CPO 量產時程比空方想的近（2027 小量、2028
#4,QQ_Timmy,292,72267,217,45,30,no,nvidia; semianalysis; delayed 800vdc; adoption nvidia; push cpo; semianalysis power,2026-06-09T16:31:04.000Z,https://x.com/QQ_Timmy/status/2064384794570666409,"Semianalysis:  Power Off, Lights Out. 800VDC Push-In and CPO Delay Authors: Konrad Wang, Nigel Chiang, Nick Doyle, Doug O'Laughlin, and Daniel Nishball Date: June 9, 2026  Widespread adoption of Nvidia's native single-ended 800VDC design has been delayed, with 800VDC shipments  https:// x.com/dmjk001/status /dmjk001/status/2064366281856590102 …"
#5,QQ_Timmy,254,18083,207,29,18,yes,0mmt的高難度tgv glass; 3mmt至2; tgv; 成功開發全球首創; jntc,2026-06-20T03:51:00.000Z,https://x.com/QQ_Timmy/status/2068179784836808868,JNTC 成功開發全球首創 2.0mmT TGV 玻璃基板  JNTC（KOSDAQ: 204270）於6月19日宣布，成功開發全球首創厚度達2.0mmT的高難度TGV（Through Glass Via）玻璃基板，目前已擁有從0.3mmT至2.0mmT的完整產品線，並同步開發下一代3.0mmT產品。
#6,QQ_Timmy,252,22894,213,10,29,yes,感謝您一直以來與聯發科技的合作 我們非常重視您對我們的信任; 尊敬的客戶 感謝您一直以來與聯發科技的合作; 我們非常重視您對我們的信任 以及對雙方業務關係的持續承諾; 以及對雙方業務關係的持續承諾; 尊敬的客戶,2026-06-22T13:32:35.000Z,https://x.com/QQ_Timmy/status/2069050921783525707,尊敬的客戶：  感謝您一直以來與聯發科技的合作。我們非常重視您對我們的信任，以及對雙方業務關係的持續承諾。
#7,QQ_Timmy,237,19711,221,14,2,no,nvidia; rack; 原本光通訊主要用在 scale; 您自己會看好哪三大產業 艦長; 未來可能是 rack,2026-07-09T20:09:58.000+08:00,https://x.com/QQ_Timmy/status/2075190725202026896,「2026 年下半年，您自己會看好哪三大產業？」 艦長：其實只有一個大方向 —— AI，但在 AI 裡面，他會再細分成三個次產業：  1. 光通訊（最看好，景氣展望最好） 理由 - 原本光通訊主要用在 Scale-out（跨機櫃之間的連接）。 - NVIDIA 接下來的 Scale-up 會大幅改變：未來可能是 8 個 Rack
#8,QQ_Timmy,236,40590,204,23,9,no,dram; micron; 超大規模資料中心業者為了確保ai競爭力 仍有意願支付高價; 這些因素疊加之下 美光; micron 認為供給不足將比原先預期更長期化; 美光 micron,2026-06-06T17:35:48.000Z,https://x.com/QQ_Timmy/status/2063313924473426347,AI基礎設施擴大最大的瓶頸已轉移至DRAM。超大規模資料中心業者為了確保AI競爭力，仍有意願支付高價；在供給面，由於潔淨室確保與EUV裝置不足，導致生產擴大受到限制。這些因素疊加之下，美光（Micron）認為供給不足將比原先預期更長期化，可能性很高。  https:// x.com/kjage1/status/ /kjage1/status/2062838601445253296 …
#9,QQ_Timmy,228,20790,189,29,10,yes,元件替換 以固態半導體全面取代傳統機電元件; hvdc 高壓直流架構; 資料中心全面轉向 800v; 800v hvdc; ai,2026-06-27T02:48:26.000Z,https://x.com/QQ_Timmy/status/2070700754990694873,AI 電源半導體報告 1. 市場規模與成長預測 - 2025 年：約 27 億美元 - 2028 年：約 160 億美元 - 三年 CAGR ≈ 82%  2. 主要成長驅動因素 - 架構轉型：資料中心全面轉向 800V HVDC 高壓直流架構，大幅提升每 kW 半導體含量價值。 - 元件替換：以固態半導體全面取代傳統機電元件（從電網到機架）。 ‧
#10,QQ_Timmy,224,52371,176,20,28,no,傳統有機基板因翹曲 warpage; 成為下一代先進封裝關鍵材料 可作為玻璃核心基板或玻璃中介層使用; 玻璃基板突破ai晶片封裝瓶頸 隨著ai晶片尺寸持續放大,2026-06-07T14:44:10.000Z,https://x.com/QQ_Timmy/status/2063633120017186976,玻璃基板突破AI晶片封裝瓶頸  隨著AI晶片尺寸持續放大，傳統有機基板因翹曲（warpage）問題導致良率下降。具備熱膨脹係數（CTE）接近矽（3-9 ppm/°C）、優異介電性能（低Dk/Df）與極致平整表面的玻璃基板，成為下一代先進封裝關鍵材料，可作為玻璃核心基板或玻璃中介層使用。

#1,jukan05,10806,1415169,10000,632,174,yes,samsung; nvidia; nvidia profitable; samsung overtakes; official samsung; overtakes nvidia,2026-07-06T23:18:52.000Z,https://x.com/jukan05/status/2074271893956558914,OFFICIAL: SAMSUNG OVERTAKES NVIDIA TO BECOME THE MOST PROFITABLE COMPANY IN THE WORLD
#2,jukan05,7306,1485860,6400,778,128,yes,samsung; hynix,2026-05-22T01:29:35.000Z,https://x.com/jukan05/status/2057634950636241129,Just in: Employees at high-end and supercar dealerships in Korea say their showrooms are packed with Samsung and SK hynix employees.
#3,jukan05,6232,621663,4400,1400,432,yes,image,2026-05-28T02:23:59.000Z,https://x.com/jukan05/status/2059822967648030996,"As a Korean, this is very sad.  According to a local Korean media report released today, LG Electronics has reportedly explored the possibility of selling its TV business to China’s Hisense.  The Korean TV industry has collapsed."
#4,jukan05,5945,671529,5600,288,57,no,semiconductor,2026-06-08T05:45:59.000Z,https://x.com/jukan05/status/2063860067649380675,"Why you should be on X:  You can see real-time supply-chain information shared directly by Korean semiconductor engineers, for free.  You get raw, unfiltered information without it going through sell-side analysts or research houses.  This is why I don’t use Reddit or other"
#5,jukan05,5789,884469,5000,509,280,no,,2026-06-09T02:18:44.000Z,https://x.com/jukan05/status/2064170300452098183,SOURCES: ANTHROPIC WILL RELEASE THE PUBLIC VERSION OF MYTHOS TOMORROW
#6,jukan05,5381,904339,4900,313,168,no,,2026-05-28T08:17:10.000Z,https://x.com/jukan05/status/2059911848334618668,JENSEN HUANG: “WE HAVE A SURPRISING NEW PRODUCT THAT WE HAVEN’T TOLD ANYONE ABOUT YET. WE WILL ANNOUNCE IT LATER.”
#7,jukan05,4751,2634175,3200,1200,351,no,edge ai; restricting overseas; china considers; ai companies; alibaba bytedance; access cutting,2026-07-07T10:42:30.000Z,https://x.com/jukan05/status/2074443936865960205,"CHINA CONSIDERS RESTRICTING OVERSEAS ACCESS TO CUTTING-EDGE AI MODELS  China’s Ministry of Commerce has led meetings over the past month with major AI companies, including Alibaba, ByteDance, and  http:// Z.ai, to discuss measures that would restrict overseas access to"
#8,jukan05,3615,790696,3300,243,72,yes,image,2026-06-15T03:55:56.000Z,https://x.com/jukan05/status/2066369086842605996,Shared without comment.
#9,jukan05,3584,637161,3000,459,125,no,micron,2026-06-23T10:33:47.000Z,https://x.com/jukan05/status/2069368311146815885,"Why did the KOSPI fall today?  1. Korean leverage trading has climbed to excessively high levels. 2. Ahead of Micron's earnings, profit taking is underway, with talk that buyside expectations have become too elevated. 3. Korean lawmakers are discussing imposing taxes on"
#10,jukan05,3133,808502,2700,299,134,no,nvidia; gpu; inference; mu nvidia; gpus underutilized; yes mu; inference does,2026-06-28T07:52:41.000Z,https://x.com/jukan05/status/2071139712082022855,"Yes, MU is not Nvidia.  But going forward, it may become even more important than Nvidia.  Think about it. Inference is now directly tied to money. But inference does not get better simply by adding more Nvidia GPUs. In fact, GPUs are often underutilized in inference, sitting"

#1,TrendForce,488,339041,359,111,18,yes,#nvidia; #arm; #intel; #amd; chip; intel; nvidia; amd; gpu; cpu; arm; ai; cpu planned; agentic ai; raising prices; moment nvidia,2026-04-14T13:00:27.000Z,https://x.com/trendforce/status/2044038072107434251, CPUs are having a moment.  #Nvidia launched a standalone CPU. #Arm made its first chip in 35 years. #Intel & #AMD are raising prices amid a supply crunch.  What's behind it: Agentic AI needs far more CPU than anyone planned for — driving a structural shift in CPU:GPU ratios
#2,TrendForce,402,118951,293,97,12,no,#trendforce; nand; dram; memory; trendforce; memory prices; prices climbing; flash surge; imbalance ease,2026-03-31T16:00:45.000Z,https://x.com/trendforce/status/2039010015747396092," Memory prices keep climbing: DRAM is forecast to rise 58–63% QoQ in 2Q26, while NAND flash may surge 70–75%. When will the supply-demand imbalance ease?More analysis from #TrendForce:  https:// buff.ly/NBcmN5k "
#3,TrendForce,269,42131,234,29,6,no,hbm; samsung; hynix; micron; nvidia; memory; trendforce; ai; samsung plans; hynix hbm4; nvidia exclusively; memory giants; micron inaccurate,2026-03-10T08:26:38.000Z,https://x.com/trendforce/status/2031285588754837987,Recent media reports claiming NVIDIA has exclusively selected Samsung and SK hynix for its HBM4 supply chain—supposedly sidelining Micron—are inaccurate. TrendForce reports that all three memory giants remain integral to the upcoming Vera Rubin architecture. Samsung plans to
#4,TrendForce,231,49370,176,53,2,yes,hbm; hbm4; trendforce; gpu; hbm4 contract; trendforce expects; gen gpu,2026-07-03T14:01:52.000Z,https://x.com/trendforce/status/2073044558686957638," HBM4 Contract Prices: A Major Hike Is Coming With 2027 HBM4 talks underway, TrendForce expects substantial price hikes to reflect supply-demand imbalance and rising next-gen costs. Demand from next-gen GPU platforms and AI ASICs, with growing die sizes, will aggravate the"
#5,TrendForce,212,35009,185,24,3,no,#sandisk; #ssd; ssd; agreements years; hybrid pricing,2026-05-05T08:00:01.000Z,https://x.com/trendforce/status/2051572611235119478,"#SanDisk announced that the company has secured long-term #SSD supply agreements of up to five years, featuring increasing volume commitments and a hybrid pricing structure that combines fixed and variable components. These agreements are designed to ensure demand visibility and"
#6,TrendForce,199,53880,159,40,0,yes,#copos; tsmc; panel; ai; tsmc copos; carrier square; taiwan suppliers; round glass; utilization rates,2026-06-12T14:08:51.000Z,https://x.com/trendforce/status/2065436170428035281,"TSMC's #CoPoS is moving fast, and the opportunities for Taiwan suppliers are taking shape. CoPoS replaces traditional round glass carrier with a square panel format, pushing utilization rates above 75%. More on glass material development:  https:// pse.is/977q8c "
#7,TrendForce,197,29759,157,39,1,yes,samsung; hynix; micron; kioxia; memory; agreements ltas; memory cycle; kioxia rewriting; long term,2026-06-25T09:11:27.000Z,https://x.com/trendforce/status/2070072369541218721,"Micron, Samsung, SK hynix, and Kioxia are rewriting the rules of the memory cycle with new long-term agreements (LTAs)."
#8,TrendForce,164,21493,141,22,1,yes,#intel; foundry; intel; packaging; node; advanced packaging; intel foundry; 18a node; turnaround coming,2026-04-29T04:07:05.000Z,https://x.com/trendforce/status/2049339662964289700,#Intel Foundry's turnaround may be coming sooner than expected — with big tech now reportedly betting on its 18A node and advanced packaging.
#9,TrendForce,145,31733,125,19,1,yes,dram; micron; trendforce; shortage; dram shortage; hardware prices; micron cautioned; 2028,2026-06-30T05:59:08.000Z,https://x.com/trendforce/status/2071835911017627981,"The global DRAM shortage and elevated hardware prices are expected to persist through 2028 thanks to surging AI demand. Despite delivering record fiscal third-quarter results, Micron cautioned that supply will take considerable time to catch up with demand. TrendForce attributes"
#10,TrendForce,143,10719,108,34,1,no,#hbm; #trendforce; dram; hbm; trendforce; hbm prices; negotiations underway,2026-06-02T16:00:51.000Z,https://x.com/trendforce/status/2061840478081867881," #HBM prices may surge in 2027. HBM4 negotiations are underway, with suppliers holding the upper hand amid tight DRAM supply and rising costs.More analysis from #TrendForce:   https:// buff.ly/EM8TOV3 "

#1,dylan522p,26372,2219969,24000,2300,72,yes,korea tteokbokki; cigarettes bought; went 11; served meal; elder ladies,2025-04-30T23:16:36.000Z,https://x.com/dylan522p/status/1917719768066363629,"In Korea, found this Tteokbokki spot ran by 2 elder ladies I asked if they took card She shook her head, spoke some Korean, walked out, waved me to follow We went to a 7/11 She pointed at some cigarettes, which I bought for her, 3500 won, $2.46 Went back and got served this meal"
#2,dylan522p,10797,772473,10000,767,30,no,ai; kid diets; vs foods; cheese plastic; hilarious study; totally vindicated,2024-12-29T04:41:46.000Z,https://x.com/dylan522p/status/1873227889610735667,The most hilarious part of the study isn't that all the Whole Foods Organic veggies & meat are plastic ridden Its that Sour Patch Kids + microwavable Kraft Mac & Cheese were among the least plastic containing foods 6 year old kid diets are totally vindicated vs Whole Foods Maxies
#3,dylan522p,8900,6654201,6100,1500,1300,yes,volleyball tournament; caste; people gujarat; dallas unreal; rural america,2025-03-01T22:55:24.000Z,https://x.com/dylan522p/status/1895971158169882830,"My caste (Leuva Patidar Samaj) volleyball tournament in Dallas is unreal 8,000 people here out of ~40,000 people in the US Everyone from a part of Gujarat and same way of life in the US Literally everyone here owns a motel or gas station in rural America"
#4,dylan522p,7520,1046171,6700,572,248,no,intel; qualcomm; ai; elon jet; florida qualcomm; intel saved,2025-01-17T22:20:19.000Z,https://x.com/dylan522p/status/1880379652054901175,Elon's jet is in Florida. Global Foundries jet is in Florida. Qualcomm's jet is in Florida. In case anyone was wondering what's going on with Intel... They are at Mar-a-Lago. Make America Great Again can only be true if Intel is saved.
#5,dylan522p,5905,1893618,5200,412,293,no,pandemic happening; sf like; hit people,2026-03-09T03:36:22.000Z,https://x.com/dylan522p/status/2030850153117327542,"Being in SF is like being in Wuhan right before the pandemic  Something is happening, it's gonna hit everywhere but so few people know it"
#6,dylan522p,5716,364917,5100,492,124,yes,money glitch; press left; sam fransisco; infinite; yo heard,2025-09-23T04:35:12.000Z,https://x.com/dylan522p/status/1970346183827783756,"Yo I heard if u press Up, Up, Down, Down, Left, Right, Left, Right, B, A in Sam Fransisco there's an infinite money glitch"
#7,dylan522p,5664,658366,5200,235,229,yes,short,2026-04-01T22:04:21.000Z,https://x.com/dylan522p/status/2039463905786048795,Can I short myself?
#8,dylan522p,4855,1139962,3900,751,204,yes,semianalysis; ai; public commits; claude code; software development; newsletter semianalysis,2026-02-05T19:17:22.000Z,https://x.com/dylan522p/status/2019490550911766763,"4% of GitHub public commits are being authored by Claude Code right now. At the current trajectory, we believe that Claude Code will be 20%+ of all daily commits by the end of 2026. While you blinked, AI consumed all of software development. Read more   https:// newsletter.semianalysis.com/p/claude-code- is-the-inflection-point …"
#9,dylan522p,4742,645123,4300,333,109,no,ai; microsoft investing; openai increasingly; round 59b; uncomfortable partnership; wants claude,2024-12-18T18:49:50.000Z,https://x.com/dylan522p/status/1869455045873528847,Microsoft might be investing in Anthropic's new round at $59B. Microsoft wants to have Claude in their pocket to push back against OpenAI who is increasingly rambunctious with Microsoft. Very uncomfortable partnership between the two.
#10,dylan522p,4728,633989,4000,533,195,yes,deepseek v3; shifting curve; scale dummies; r1 discourse; means build,2025-01-26T17:34:17.000Z,https://x.com/dylan522p/status/1883569162100080875,Deepseek V3 and R1 discourse boils down to this. Shifting the curve means you build more and scale more dummies

#1,SemiAnalysis_,14700,351178,14000,608,92,yes,image,2026-05-06T17:57:01.000Z,https://x.com/SemiAnalysis_/status/2052085238856093973,Elon rn
#2,SemiAnalysis_,5527,2011506,4500,823,204,yes,gpu; ml engineering; degrade iq; anthropic latest; model moderation; filters gpu,2026-06-09T23:00:09.000Z,https://x.com/SemiAnalysis_/status/2064482714149896431,"BREAKING NEWS: Anthropic's latest model will NOT help you if it thinks your ML research/ML engineering is interesting, and/or will secretly degrade its IQ so that the average engineer won't notice. We are already seeing Anthropic's latest model's moderation filters our GPU"
#3,SemiAnalysis_,5294,191400,5000,234,60,yes,fab; heard fable; fable got; fable; banned; heard,2026-06-13T02:50:36.000Z,https://x.com/SemiAnalysis_/status/2065627871343698300,we heard fable got banned
#4,SemiAnalysis_,4521,891296,4000,423,98,yes,ai; qwen model; city rio; space reasoning; thought latent; swireasoning base,2026-06-13T20:30:04.000Z,https://x.com/SemiAnalysis_/status/2065894494935933191,"SITUATION DETECTED: The city of Rio de Janerio has post-trained a model.  Based on Qwen 7/2, Rio 3.5 Open 397B adds SwiReasoning on top of the base Qwen model — a framework that dynamically switches between standard chain-of-thought and latent-space reasoning, guided by"
#5,SemiAnalysis_,4110,605300,3300,717,93,yes,apple; smartphone; foxconn china; smartphone imports; centrality eroded; apple hardware; assembly network,2026-04-13T17:00:27.000Z,https://x.com/SemiAnalysis_/status/2043736083641373057,"US smartphone imports from China have collapsed from 90% to 25%.  The Foxconn China assembly network, once the undisputed backbone of Apple's hardware empire, is seeing its centrality eroded in real time. This is the clearest data point yet of a forced, systematic derisking of"
#6,SemiAnalysis_,3788,2145700,2900,611,277,yes,micron; fab; micron 100b; megafab ny; frivolous lawsuit; risk delay; concerned citizens,2026-02-25T18:01:21.000Z,https://x.com/SemiAnalysis_/status/2026719180284666046,Micron’s $100B megafab in NY is at risk of delay due to just 6 “concerned citizens” and their frivolous lawsuit. (1/10) 
#7,SemiAnalysis_,3779,668221,3100,599,80,yes,dram; hbm; nvidia; attention kda; nvidia hbm; cache requirements; networking relatively; deepseek r1,2026-07-18T06:49:11.000+08:00,https://x.com/SemiAnalysis_/status/2078250693010309260,"Similar to the panic over DeepSeek R1, some uneducated people think Kimi K3’s use of linear attention (KDA) is bad for NVIDIA, HBM, DRAM, and networking because it has relatively lower KV-cache requirements. The opposite is true, and we explain why below.  1/8"
#8,SemiAnalysis_,3568,619835,2900,496,172,yes,ai; public commits; github; claude code; software development,2026-02-27T18:00:26.000Z,https://x.com/SemiAnalysis_/status/2027443723362042308,"4% of GitHub public commits are being authored by Claude Code right now. At the current trajectory, we believe that Claude Code will be 20%+ of all daily commits by the end of 2026. While you blinked, AI consumed all of software development."
